words,counts
ถ้า-VERB,1
คุณหวัง-VERB,1
โรแมนติก-VERB,1
คุณรัก-VERB,1
สรุป-VERB,1
ตุ๊กตุ๊กป่า-VERB,1
กรีดร้อง-VERB,1
บีบ-VERB,1
สั่น-VERB,1
เส้นทาง-VERB,1
เฟีย-VERB,1
แข็งแกร่ง-VERB,1
patong-VERB,2
ตกตะลึง-VERB,1
ตึงเครียด-VERB,1
รังแก-VERB,1
ฟื้นฟู-VERB,1
เกลี้ยกล่อม-VERB,1
โหดร้าย-VERB,1
สาธารณะ-VERB,1
อึดอัดใจ-VERB,1
บล็อค-VERB,1
เก่าแก่-VERB,1
มุ่งเน้น-VERB,1
ง่าย-VERB,1
แว่น-VERB,1
สุขา-VERB,2
เรียบง่าย-VERB,1
ก็ได้-VERB,1
ตะแทน-VERB,1
กรุงเทพเขา-VERB,1
ทำมาหากิน-VERB,1
กรุณา-VERB,1
สนับสนุน-VERB,1
รับผิดชอบ-VERB,2
เด็ก-VERB,1
เสียหาย-VERB,2
ละเอียด-VERB,1
รอคอย-VERB,1
เหยียบ-VERB,1
เฮนนาสสัก-VERB,1
คุณkaron-VERB,1
ตองเว้น-VERB,1
แนะ-VERB,1
ฉลอง-VERB,1
ติดขัด-VERB,1
แม้-VERB,1
ฉีกขาด-VERB,1
กระแทก-VERB,1
เท้า-VERB,1
ฉับพลัน-VERB,1
เชี่ยว-VERB,1
จม-VERB,2
เชี่ยวกราก-VERB,1
บำบัด-VERB,1
google-VERB,1
บันดาลใจ-VERB,1
